ID,Cycliste,Nationality,Points,Racedays,Km,Wins,Top_10,Weight,Height,Age,UCI_rank,All_time_rank,Team,TDF_starts,Giro_starts,Vuelta_starts,Roubaix_starts,MSR_starts,LBL_starts,Ronde_starts,Lombardia_starts,GC_wins,Oneday_Race_wins,ITT_wins,Gt_Participation,Classic_Participation,GT_Classic_Participation,Carreer_Major_Wins,Points_per_Km,Points_per_days,days_between_wins,top10_percent
952,Maciej Bodnar,poland,51,43,6650,0,2,77.0,1.86,35,913,1637,bora-hansgrohe,6,3,4,8,8,0,8,1,0,0,9,13,25,38,0,0.007669172932330826,1.186046511627907,inf,0.04651162790697674
953,Felix Großschartner,austria,437,67,10948,1,12,64.0,1.84,27,112,1811,bora-hansgrohe,1,2,2,0,1,0,0,1,1,0,0,5,2,7,1,0.03991596638655462,6.522388059701491,67.0,0.1791044776119403
954,Lennard Kämna,germany,539,46,7709,2,11,65.0,1.81,24,66,NC,bora-hansgrohe,2,0,1,1,1,1,0,1,0,0,0,3,4,7,0,0.06991827733817615,11.717391304347824,23.0,0.2391304347826087
955,Gregor Mühlberger,austria,279,30,4821,3,5,64.0,1.8,26,116,NC,bora-hansgrohe,3,1,2,0,1,4,1,2,1,2,1,6,8,14,3,0.05787181082762913,9.3,10.0,0.16666666666666666
956,Rüdiger Selig,germany,28,50,7592,0,0,80.0,1.88,31,NC,NC,bora-hansgrohe,1,3,2,8,1,0,1,0,0,2,0,6,10,16,2,0.0036880927291886205,0.56,inf,0.0
957,Paweł Poljański,poland,55,41,6401,0,1,63.0,1.82,30,868,NC,bora-hansgrohe,2,4,3,0,0,3,0,5,0,0,0,9,8,17,0,0.00859240743633807,1.3414634146341464,inf,0.024390243902439025
958,Andreas Schillinger,germany,25,54,8357,0,0,72.0,1.88,37,1809,NC,bora-hansgrohe,3,2,2,9,2,0,8,1,0,0,0,7,20,27,0,0.002991504128275697,0.462962962962963,inf,0.0
959,Cesare Benedetti,italy,44,39,6513,0,1,63.0,1.7,33,984,NC,bora-hansgrohe,1,5,2,0,6,6,0,6,0,0,0,8,18,26,0,0.006755719330569629,1.1282051282051282,inf,0.02564102564102564
960,Lukas Pöstlberger,austria,26,44,7350,0,1,70.0,1.82,28,743,NC,bora-hansgrohe,3,1,1,0,0,1,4,0,0,2,0,5,5,10,2,0.0035374149659863946,0.5909090909090909,inf,0.022727272727272728
961,Ide Schelling,netherlands,86,42,6930,0,3,66.0,1.82,22,863,NC,bora-hansgrohe,0,0,1,0,0,1,0,1,0,0,0,1,2,3,0,0.012409812409812409,2.0476190476190474,inf,0.07142857142857142
962,Martin Laas,estonia,97,55,8189,2,7,74.0,1.76,27,760,NC,bora-hansgrohe,0,0,1,2,0,1,0,0,1,0,0,1,3,4,1,0.011845158138966907,1.7636363636363637,27.5,0.12727272727272726
963,Erik Baška,slovakia,48,19,2465,0,5,74.0,1.82,26,425,NC,bora-hansgrohe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.01947261663286004,2.526315789473684,inf,0.2631578947368421
964,Michael Schwarzmann,germany,66,57,8651,0,2,69.0,1.74,29,812,NC,bora-hansgrohe,0,1,4,4,0,0,4,0,0,0,0,5,8,13,0,0.00762917581782453,1.1578947368421053,inf,0.03508771929824561
965,Juraj Sagan,slovakia,37,34,4834,1,3,65.0,1.73,32,300,NC,bora-hansgrohe,1,0,0,5,2,1,4,0,0,4,0,1,12,13,4,0.0076541166735622675,1.088235294117647,34.0,0.08823529411764706
966,Matteo Fabbro,italy,133,46,7281,0,4,52.0,1.67,25,382,NC,bora-hansgrohe,0,1,1,0,0,0,0,1,0,0,0,2,1,3,0,0.01826672160417525,2.891304347826087,inf,0.08695652173913042
967,Patrick Gamper,austria,18,26,4140,0,2,81.0,1.92,23,897,NC,bora-hansgrohe,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.004347826086956522,0.6923076923076923,inf,0.07692307692307693
968,Sergei Chernetski,russia,79,37,6405,0,3,63.0,1.76,30,308,1592,gazprom-rusvelo,0,1,3,0,0,0,0,4,2,0,1,4,4,8,2,0.012334113973458237,2.135135135135135,inf,0.08108108108108109
969,Marco Canola,italy,35,29,5001,0,1,66.0,1.8,32,598,1481,gazprom-rusvelo,0,3,0,0,6,0,0,1,0,2,0,3,7,10,2,0.006998600279944011,1.206896551724138,inf,0.03448275862068965
970,Ivan Rovny,russia,32,33,5719,0,0,62.0,1.73,33,1100,NC,gazprom-rusvelo,0,6,3,0,2,2,1,4,0,1,0,9,9,18,1,0.005595383808358104,0.9696969696969696,inf,0.0
971,Viacheslav Kuznetsov,russia,42,24,3920,0,5,70.0,1.84,31,575,NC,gazprom-rusvelo,0,4,1,4,1,0,5,0,0,0,0,5,10,15,0,0.010714285714285714,1.75,inf,0.20833333333333331
972,Evgeny Shalunov,russia,40,29,4464,0,1,70.0,1.8,28,515,NC,gazprom-rusvelo,0,1,0,0,0,0,0,2,1,2,0,1,2,3,3,0.008960573476702509,1.3793103448275863,inf,0.03448275862068965
973,Simone Velasco,italy,105,41,7239,0,2,59.0,1.7,25,252,NC,gazprom-rusvelo,0,0,0,0,3,0,0,5,0,1,0,0,8,8,1,0.014504765851636969,2.5609756097560976,inf,0.04878048780487805
974,Dmitry Strakhov,russia,18,28,4747,0,0,70.0,1.85,25,1584,NC,gazprom-rusvelo,0,1,0,0,0,1,0,0,1,0,0,1,1,2,1,0.0037918685485569827,0.6428571428571429,inf,0.0
975,Aleksey Rybalkin,russia,5,22,3554,0,0,,,27,NC,NC,gazprom-rusvelo,0,1,0,0,0,0,0,2,0,0,0,1,2,3,0,0.0014068655036578502,0.2272727272727273,inf,0.0
976,Nikolay Cherkasov,russia,8,30,4855,0,0,,,24,1852,NC,gazprom-rusvelo,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0.0016477857878475796,0.26666666666666666,inf,0.0
977,Artem Nych,russia,10,17,2742,0,0,74.0,1.93,25,1364,NC,gazprom-rusvelo,0,0,0,0,1,0,0,4,0,0,0,0,5,5,0,0.0036469730123997093,0.5882352941176471,inf,0.0
978,Stepan Kurianov,russia,5,10,1790,0,0,,,24,1646,NC,gazprom-rusvelo,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0.002793296089385475,0.5,inf,0.0
979,Igor Boev,russia,13,30,5025,0,0,74.0,1.86,31,NC,NC,gazprom-rusvelo,0,0,0,0,2,0,0,2,0,0,0,0,4,4,0,0.0025870646766169157,0.43333333333333335,inf,0.0
980,Imerio Cima,italy,48,32,5280,0,4,,,23,606,NC,gazprom-rusvelo,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.00909090909090909,1.5,inf,0.125
981,Damiano Cima,italy,10,20,3225,0,1,70.0,1.8,27,NC,NC,gazprom-rusvelo,0,1,0,0,2,0,0,0,0,0,0,1,2,3,0,0.0031007751937984496,0.5,inf,0.05
982,Alexandr Kulikovskiy,russia,0,2,272,0,0,,,23,NC,NC,gazprom-rusvelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
983,Yauheni Karaliok,belarus,42,11,1373,1,4,,,24,270,NC,gazprom-rusvelo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.030589949016751636,3.8181818181818175,11.0,0.3636363636363637
984,Petr Rikunov,russia,15,31,4862,0,0,,,23,1884,NC,gazprom-rusvelo,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.003085150143973673,0.4838709677419355,inf,0.0
985,Denis Nekrasov,russia,23,32,5170,0,0,,,23,1123,NC,gazprom-rusvelo,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.004448742746615087,0.71875,inf,0.0
986,Cristian Scaroni,italy,8,22,3456,0,0,63.0,1.75,23,NC,NC,gazprom-rusvelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023148148148148147,0.3636363636363637,inf,0.0
987,Anton Kuzmin,kazakhstan,0,22,3271,0,0,,,24,NC,NC,gazprom-rusvelo,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,inf,0.0
988,Vladislav Kulikov,russia,3,18,2839,0,1,,,24,NC,NC,gazprom-rusvelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010567101091933776,0.16666666666666666,inf,0.05555555555555555
