ID,Cycliste,Nationality,Points,Racedays,Km,Wins,Top_10,Weight,Height,Age,UCI_rank,All_time_rank,Team,TDF_starts,Giro_starts,Vuelta_starts,Roubaix_starts,MSR_starts,LBL_starts,Ronde_starts,Lombardia_starts,GC_wins,Oneday_Race_wins,ITT_wins,Gt_Participation,Classic_Participation,GT_Classic_Participation,Carreer_Major_Wins,Points_per_Km,Points_per_days,days_between_wins,top10_percent
854,Mees Hendrikx,netherlands,0,1,62,0,0,,,20,NC,NC,alpecin-fenix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
855,Timo Kielich,belgium,16,1,199,0,1,,,21,1014,NC,alpecin-fenix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08040201005025126,16.0,inf,1.0
856,Niels Vandeputte,belgium,0,7,1015,0,0,,,20,NC,NC,alpecin-fenix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
857,Jon Aberasturi,spain,196,53,8428,1,19,69.0,1.73,31,198,1842,caja-rural-seguros-rga,0,0,3,0,0,0,0,0,0,1,0,3,0,3,1,0.02325581395348837,3.69811320754717,53.0,0.3584905660377358
858,Jonathan Lastra,spain,32,28,4565,0,0,64.0,1.72,27,1379,NC,caja-rural-seguros-rga,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0.007009857612267251,1.1428571428571428,inf,0.0
859,Matteo Malucelli,italy,8,32,5214,0,5,68.0,1.71,27,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015343306482546988,0.25,inf,0.15625
860,Orluis Aular,venezuela,35,28,4247,0,7,65.0,1.76,24,763,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.008241111372733695,1.25,inf,0.25
861,Cristián Rodríguez,spain,67,29,4554,0,5,56.0,1.77,25,479,NC,caja-rural-seguros-rga,0,2,2,0,0,0,0,2,0,0,0,4,2,6,0,0.014712340799297322,2.3103448275862073,inf,0.1724137931034483
862,Gonzalo Serrano,spain,129,51,8061,1,5,65.0,1.77,26,276,NC,caja-rural-seguros-rga,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0.016002977298101972,2.5294117647058822,51.0,0.09803921568627452
863,Jefferson Alveiro Cepeda,ecuador,85,42,6651,0,3,61.0,1.7,24,324,NC,caja-rural-seguros-rga,0,0,1,0,0,0,0,0,0,2,1,1,0,1,2,0.012780033077732672,2.023809523809524,inf,0.07142857142857142
864,Aritz Bagües,spain,20,40,6594,0,0,67.0,1.77,31,1795,NC,caja-rural-seguros-rga,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0.0030330603579011217,0.5,inf,0.0
865,Julen Amezqueta,spain,30,32,5376,0,0,63.0,1.74,27,1002,NC,caja-rural-seguros-rga,0,2,1,0,2,0,0,1,0,0,0,3,3,6,0,0.005580357142857143,0.9375,inf,0.0
866,Héctor Sáez,spain,0,54,7857,0,0,75.0,1.85,27,NC,NC,caja-rural-seguros-rga,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0.0,0.0,inf,0.0
867,Xavier Cañellas,spain,45,20,2961,1,2,66.0,1.75,23,639,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015197568389057753,2.25,20.0,0.1
868,Jhojan García,colombia,28,38,6314,0,0,55.0,1.68,22,1538,NC,caja-rural-seguros-rga,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.004434589800443459,0.7368421052631579,inf,0.0
869,Jon Irisarri,spain,3,39,5860,0,1,66.0,1.75,25,1886,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005119453924914676,0.07692307692307693,inf,0.02564102564102564
870,Álvaro Cuadros,spain,7,25,3722,0,1,67.0,1.79,25,1653,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018807092960773774,0.28,inf,0.04
871,Alejandro Osorio,colombia,0,24,3562,0,0,62.0,1.81,22,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
872,Oier Lazkano,spain,34,33,4483,1,2,74.0,1.89,21,867,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007584207004238233,1.0303030303030305,33.0,0.060606060606060615
873,Miguel Ángel Ballesteros,spain,34,7,998,0,6,60.0,1.73,24,608,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03406813627254509,4.857142857142857,inf,0.8571428571428571
874,David González,spain,6,34,4953,0,3,68.0,1.79,24,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012113870381586915,0.17647058823529413,inf,0.08823529411764706
875,Joel Nicolau,spain,0,35,5076,0,1,66.0,1.76,23,1696,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.028571428571428567
876,Juan Fernando Calle,colombia,0,13,1989,0,0,59.0,1.77,21,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
877,Sergio Roman Martín,spain,0,35,5088,0,0,69.0,1.82,24,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
878,Carmelo Urbano,spain,0,26,3542,0,0,62.0,1.78,23,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
879,Josu Etxeberria,spain,0,8,840,0,0,65.0,1.78,20,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
880,Carlos García,spain,0,12,1818,0,1,,,21,1878,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.08333333333333333
881,Oier Ibarguren,spain,0,6,814,0,0,70.0,1.77,23,NC,NC,caja-rural-seguros-rga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,inf,0.0
882,Thibaut Pinot,france,600,47,7738,0,18,63.0,1.8,30,44,178,groupama-fdj,8,2,4,0,0,0,0,7,7,2,3,14,7,21,9,0.07753941586973379,12.76595744680851,inf,0.3829787234042553
883,Arnaud Démare,france,1059,49,8245,14,23,76.0,1.82,29,9,105,groupama-fdj,4,4,0,6,8,0,7,0,7,18,1,8,21,29,25,0.12844147968465736,21.612244897959183,3.5,0.4693877551020408
884,Stefan Küng,switzerland,640,50,8130,3,12,83.0,1.93,27,23,850,groupama-fdj,4,2,0,5,2,0,5,0,0,3,10,6,12,18,3,0.07872078720787208,12.8,16.666666666666668,0.24
885,Anthony Roux,france,94,50,8266,0,4,72.0,1.88,33,335,1159,groupama-fdj,5,3,5,1,4,9,0,8,2,2,1,13,22,35,4,0.011371884829421728,1.88,inf,0.08
886,Matthieu Ladagnous,france,40,59,9403,0,0,73.0,1.81,36,1411,1092,groupama-fdj,8,2,4,10,9,1,10,5,2,2,0,14,35,49,4,0.00425396150164841,0.6779661016949152,inf,0.0
887,Sébastien Reichenbach,switzerland,212,36,5877,0,4,64.0,1.78,31,274,NC,groupama-fdj,4,3,0,0,0,2,0,4,0,2,0,7,6,13,2,0.036072826271907436,5.888888888888888,inf,0.1111111111111111
888,Rudy Molard,france,347,47,8249,0,6,62.0,1.78,31,99,NC,groupama-fdj,6,1,3,0,0,7,1,4,0,0,0,10,12,22,0,0.04206570493393138,7.382978723404255,inf,0.1276595744680851
889,David Gaudu,france,513,53,8845,2,12,53.0,1.73,24,62,1901,groupama-fdj,3,0,1,0,0,2,0,3,0,0,0,4,5,9,0,0.057998869417750135,9.679245283018867,26.5,0.22641509433962265
890,William Bonnet,france,0,14,2166,0,0,80.0,1.85,38,NC,NC,groupama-fdj,10,5,3,8,9,2,7,2,0,2,0,18,28,46,2,0.0,0.0,inf,0.0
891,Jacopo Guarnieri,italy,49,54,8801,0,1,80.0,1.9,33,1511,NC,groupama-fdj,4,2,2,9,7,0,9,1,0,0,0,8,26,34,0,0.005567549142142939,0.9074074074074074,inf,0.018518518518518517
892,Ignatas Konovalovas,lithuania,23,50,8109,0,0,74.0,1.9,35,1811,1810,groupama-fdj,2,6,2,6,7,3,7,1,1,1,7,10,24,34,2,0.002836354667653225,0.46,inf,0.0
893,Mickaël Delage,france,25,35,5183,0,0,70.0,1.8,35,NC,NC,groupama-fdj,6,3,8,9,8,2,10,2,0,1,0,17,31,48,1,0.0048234613158402466,0.7142857142857143,inf,0.0
894,Marc Sarreau,france,77,20,2834,0,5,76.0,1.82,27,462,1351,groupama-fdj,0,1,2,5,0,0,3,0,0,5,0,3,8,11,5,0.027170077628793227,3.85,inf,0.25
895,Valentin Madouas,france,364,46,7643,0,5,71.0,1.78,24,100,NC,groupama-fdj,1,1,0,0,0,3,1,1,0,1,0,2,5,7,1,0.047625278032186316,7.913043478260869,inf,0.10869565217391304
896,Ramon Sinkeldam,netherlands,8,36,5866,0,0,77.0,1.93,31,1514,1781,groupama-fdj,4,2,2,8,1,0,8,0,0,4,0,8,17,25,4,0.0013637913399249914,0.2222222222222222,inf,0.0
897,Tobias Ludvigsson,sweden,39,39,5994,0,3,76.0,1.94,29,832,NC,groupama-fdj,1,6,4,0,0,1,0,4,1,0,4,11,5,16,1,0.0065065065065065065,1.0,inf,0.07692307692307693
898,Olivier Le Gac,france,75,60,9757,0,0,70.0,1.8,27,546,NC,groupama-fdj,2,2,2,4,2,1,4,0,0,0,0,6,11,17,0,0.007686788972020088,1.25,inf,0.0
899,Fabian Lienhard,switzerland,78,35,5824,0,1,73.0,1.82,27,322,NC,groupama-fdj,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.013392857142857142,2.2285714285714286,inf,0.028571428571428567
900,Alexys Brunel,france,75,22,3071,1,4,70.0,1.9,22,402,NC,groupama-fdj,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0.024422012373819604,3.4090909090909087,22.0,0.18181818181818185
901,Benjamin Thomas,france,62,30,4507,0,4,68.0,1.79,25,453,NC,groupama-fdj,0,1,2,0,0,0,0,1,0,0,1,3,1,4,0,0.013756378966052809,2.066666666666667,inf,0.13333333333333333
902,Antoine Duchesne,canada,5,23,3693,0,0,75.0,1.9,29,1402,NC,groupama-fdj,1,0,2,5,0,0,6,0,0,1,0,3,11,14,1,0.0013539128080151638,0.21739130434782608,inf,0.0
903,Kevin Geniets,luxembourg,79,37,5501,1,4,73.0,1.93,23,182,NC,groupama-fdj,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0.014361025268133069,2.135135135135135,37.0,0.10810810810810813
904,Kilian Frankiny,switzerland,91,50,7770,0,2,67.0,1.79,26,542,NC,groupama-fdj,0,2,2,0,0,0,0,2,0,0,0,4,2,6,0,0.011711711711711712,1.82,inf,0.04
905,Miles Scotson,australia,59,47,7533,0,2,74.0,1.89,26,1240,NC,groupama-fdj,0,2,0,1,2,0,0,0,0,1,0,2,3,5,1,0.00783220496482145,1.25531914893617,inf,0.0425531914893617
906,Jake Stewart,great-britain,120,31,4778,0,8,66.0,1.75,21,311,NC,groupama-fdj,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.025115110925073254,3.870967741935484,inf,0.25806451612903225
907,Bruno Armirail,france,117,53,8712,0,3,74.0,1.9,26,379,NC,groupama-fdj,0,0,2,0,0,1,0,0,0,0,0,2,1,3,0,0.013429752066115705,2.207547169811321,inf,0.05660377358490566
